H_team_id,H_ml_open,H_ml_close,H_streak,A_team_id,A_ml_open,A_ml_close,A_streak
WAS,-125,-125,-1,NYM,115,105,1
MIL,-122,-135,1,STL,112,115,-1
PHI,-140,-145,1,ATL,130,125,-1
CIN,-120,-140,1,PIT,110,120,-1
LAD,-170,-180,1,ARI,160,160,-1
SDG,-122,-130,1,SFO,112,110,-1
MIA,135,115,-1,COL,-145,-135,1
NYY,-350,-390,1,BAL,318,300,-1
TOR,-137,-130,-1,DET,127,110,1
TAM,115,105,-1,HOU,-125,-125,1
OAK,-122,-120,1,LAA,112,-100,-1
MIN,-105,-100,1,CLE,-105,-120,-1
KAN,-112,-130,1,CWS,102,110,-1
SEA,135,130,3,BOS,-145,-150,-1
TEX,135,130,-1,CUB,-145,-150,1
