A_given,A_calc,A_diff,H_given,H_calc,H_diff,Result
0.565,0.555,-0.01,0.465,0.445,-0.02,0
0.543,0.559,0.016,0.478,0.441,-0.037,0
0.548,0.593,0.045,0.474,0.407,-0.067,1
0.476,0.446,-0.03,0.545,0.554,0.009,0
0.392,0.36,-0.032,0.636,0.64,0.004,1
0.385,0.368,-0.017,0.643,0.632,-0.011,1
0.636,0.624,-0.012,0.392,0.376,-0.016,0
0.364,0.363,-0.001,0.667,0.637,-0.03,1
0.636,0.603,-0.033,0.392,0.397,0.005,1
0.543,0.514,-0.029,0.478,0.486,0.008,0
0.558,0.528,-0.03,0.474,0.472,-0.002,0
0.539,0.538,-0.001,0.483,0.462,-0.021,1
0.435,0.405,-0.03,0.592,0.595,0.003,1
0.435,0.42,-0.015,0.592,0.58,-0.012,1
0.528,0.541,0.013,0.495,0.459,-0.036,0
0.412,0.386,-0.026,0.612,0.614,0.002,1
0.565,0.548,-0.017,0.465,0.452,-0.013,0
0.488,0.496,0.008,0.535,0.504,-0.031,1
0.507,0.512,0.005,0.517,0.488,-0.029,0
0.517,0.498,-0.019,0.507,0.502,-0.005,1
0.493,0.48,-0.013,0.531,0.52,-0.011,1
0.472,0.448,-0.024,0.559,0.552,-0.007,1
0.507,0.506,-0.001,0.517,0.494,-0.023,1
0.476,0.464,-0.012,0.556,0.536,-0.02,1
0.469,0.459,-0.01,0.552,0.541,-0.011,1
0.552,0.529,-0.023,0.469,0.471,0.002,1
0.442,0.445,0.003,0.585,0.555,-0.03,0
0.583,0.55,-0.033,0.444,0.45,0.006,1
0.528,0.537,0.009,0.495,0.463,-0.032,0
0.37,0.364,-0.006,0.655,0.636,-0.019,1
0.569,0.577,0.008,0.461,0.423,-0.038,0
0.435,0.432,-0.003,0.592,0.568,-0.024,1
0.469,0.449,-0.02,0.552,0.551,-0.001,0
0.465,0.436,-0.029,0.565,0.564,-0.001,1
0.585,0.575,-0.01,0.442,0.425,-0.017,0
0.567,0.561,-0.006,0.463,0.439,-0.024,0
0.537,0.543,0.006,0.485,0.457,-0.028,0
0.559,0.551,-0.008,0.472,0.449,-0.023,0
0.635,0.606,-0.029,0.394,0.394,0,1
0.558,0.534,-0.024,0.474,0.466,-0.008,0
0.585,0.583,-0.002,0.442,0.417,-0.025,1
0.545,0.548,0.003,0.476,0.452,-0.024,0
0.389,0.364,-0.025,0.639,0.636,-0.003,1
0.526,0.542,0.016,0.498,0.458,-0.04,1
0.517,0.502,-0.015,0.507,0.498,-0.009,0
0.583,0.578,-0.005,0.444,0.422,-0.022,0
0.59,0.614,0.024,0.437,0.386,-0.051,0
0.735,0.73,-0.005,0.292,0.27,-0.022,0
0.608,0.613,0.005,0.417,0.387,-0.03,1
0.442,0.377,-0.065,0.585,0.623,0.038,1
0.41,0.351,-0.059,0.621,0.649,0.028,1
0.467,0.447,-0.02,0.554,0.553,-0.001,0
0.5,0.484,-0.016,0.524,0.516,-0.008,0
0.541,0.499,-0.042,0.481,0.501,0.02,0
0.437,0.38,-0.057,0.59,0.62,0.03,1
0.476,0.435,-0.041,0.556,0.565,0.009,0
0.608,0.584,-0.024,0.417,0.416,-0.001,1
0.614,0.611,-0.003,0.41,0.389,-0.021,0
0.559,0.566,0.007,0.472,0.434,-0.038,1
0.606,0.587,-0.019,0.418,0.413,-0.005,1
0.498,0.515,0.017,0.526,0.485,-0.041,0
0.472,0.442,-0.03,0.55,0.558,0.008,0
0.429,0.391,-0.038,0.597,0.609,0.012,1
0.465,0.505,0.04,0.565,0.495,-0.07,1
0.605,0.563,-0.042,0.42,0.437,0.017,1
0.548,0.543,-0.005,0.474,0.457,-0.017,1
0.512,0.474,-0.038,0.512,0.526,0.014,1
0.535,0.533,-0.002,0.488,0.467,-0.021,1
0.526,0.535,0.009,0.498,0.465,-0.033,1
0.63,0.608,-0.022,0.4,0.392,-0.008,0
0.558,0.528,-0.03,0.474,0.472,-0.002,0
0.543,0.545,0.002,0.478,0.455,-0.023,1
0.554,0.534,-0.02,0.467,0.466,-0.001,1
0.417,0.385,-0.032,0.608,0.615,0.007,1
0.706,0.683,-0.023,0.323,0.317,-0.006,1
0.476,0.484,0.008,0.545,0.516,-0.029,0
0.608,0.601,-0.007,0.417,0.399,-0.018,0
0.412,0.445,0.033,0.612,0.555,-0.057,1
0.592,0.569,-0.023,0.435,0.431,-0.004,0
0.583,0.578,-0.005,0.444,0.422,-0.022,0
0.345,0.332,-0.013,0.683,0.668,-0.015,1
0.602,0.616,0.014,0.424,0.384,-0.04,0
0.512,0.495,-0.017,0.512,0.505,-0.007,0
0.63,0.634,0.004,0.4,0.366,-0.034,0
0.556,0.548,-0.008,0.476,0.452,-0.024,0
0.62,0.606,-0.014,0.412,0.394,-0.018,1
0.395,0.374,-0.021,0.634,0.626,-0.008,0
0.545,0.542,-0.003,0.476,0.458,-0.018,1
0.639,0.669,0.03,0.389,0.331,-0.058,0
0.708,0.676,-0.032,0.319,0.324,0.005,0
0.615,0.591,-0.024,0.417,0.409,-0.008,1
0.649,0.571,-0.078,0.377,0.429,0.052,0
0.649,0.574,-0.075,0.377,0.426,0.049,1
0.481,0.503,0.022,0.541,0.497,-0.044,1
0.597,0.591,-0.006,0.429,0.409,-0.02,0
0.59,0.563,-0.027,0.437,0.437,0,1
0.636,0.612,-0.024,0.392,0.388,-0.004,1
0.617,0.659,0.042,0.415,0.341,-0.074,1
0.585,0.532,-0.053,0.442,0.468,0.026,1
0.642,0.586,-0.056,0.386,0.414,0.028,0
0.505,0.495,-0.01,0.519,0.505,-0.014,0
0.556,0.548,-0.008,0.476,0.452,-0.024,1
0.537,0.545,0.008,0.485,0.455,-0.03,1
0.533,0.501,-0.032,0.49,0.499,0.009,1
0.476,0.458,-0.018,0.545,0.542,-0.003,0
0.603,0.538,-0.065,0.422,0.462,0.04,1
0.556,0.531,-0.025,0.476,0.469,-0.007,1
0.531,0.509,-0.022,0.493,0.491,-0.002,1
0.558,0.586,0.028,0.474,0.414,-0.06,1
0.537,0.533,-0.004,0.485,0.467,-0.018,0
0.535,0.548,0.013,0.488,0.452,-0.036,0
0.585,0.42,-0.165,0.442,0.58,0.138,0
0.535,0.533,-0.002,0.488,0.467,-0.021,0
0.667,0.681,0.014,0.364,0.319,-0.045,0
0.592,0.572,-0.02,0.435,0.428,-0.007,1
0.512,0.512,0,0.512,0.488,-0.024,0
0.636,0.631,-0.005,0.392,0.369,-0.023,0
0.507,0.5,-0.007,0.517,0.5,-0.017,1
0.592,0.622,0.03,0.435,0.378,-0.057,0
0.558,0.544,-0.014,0.474,0.456,-0.018,0
0.552,0.463,-0.089,0.469,0.537,0.068,0
0.502,0.486,-0.016,0.522,0.514,-0.008,1
0.512,0.499,-0.013,0.512,0.501,-0.011,1
0.512,0.572,0.06,0.512,0.428,-0.084,1
0.55,0.546,-0.004,0.472,0.454,-0.018,1
0.535,0.505,-0.03,0.488,0.495,0.007,0
0.667,0.647,-0.02,0.364,0.353,-0.011,0
0.519,0.56,0.041,0.505,0.44,-0.065,0
0.701,0.676,-0.025,0.328,0.324,-0.004,0
0.614,0.586,-0.028,0.41,0.414,0.004,0
0.558,0.522,-0.036,0.474,0.478,0.004,0
0.554,0.626,0.072,0.467,0.374,-0.093,1
0.588,0.569,-0.019,0.439,0.431,-0.008,1
0.588,0.588,0,0.439,0.412,-0.027,0
0.559,0.561,0.002,0.472,0.439,-0.033,0
0.552,0.548,-0.004,0.469,0.452,-0.017,1
0.597,0.582,-0.015,0.429,0.418,-0.011,1
0.706,0.797,0.091,0.323,0.203,-0.12,1
0.583,0.592,0.009,0.444,0.408,-0.036,1
